02,Q3,00541,5566,7:00:00 AM,8:01:00 AM,FENTON FORD,9515 STATE ROUTE 15,CAMDEN,NY,13316
03,QA,00671,6537,5:00:00 AM,8:01:00 AM,NYE FORD,1479 GENESEE ST,ONEIDA,NY,13421
04,Q3,00693,6112,7:00:00 AM,8:01:00 AM,ROMANO FORD,5431 N BURDICK ST,FAYETTEVILLE,NY,13066
05,QA,00719,5711,7:00:00 AM,8:01:00 AM,KOERNER FD/SYRACUSE,805 W GENESEE ST,SYRACUSE,NY,13204
06,Q3,10207,5980,7:00:00 AM,8:01:00 AM,HERITAGE LINCOLN,900 W GENESEE ST,SYRACUSE,NY,13204
07,Q3,00536,6980,8:30:00 AM,9:31:00 AM,DAVE PIRRO FD INC,1364 E. GENESSEE RD,SKANEATELES,NY,13152
08,Q3,11202,7669,7:30:00 AM,8:31:00 AM,BURDICK LINCOLN,5885 EAST CIRCLE DR,CICERO,NY,13039
09,QA,05767,198781,7:30:00 AM,8:31:00 AM,DAVISON FORD,3690 STATE HWY 31,LIVERPOOL,NY,13090
10,Q3,00507,5308,7:00:00 AM,8:01:00 AM,BURDICK FORD INC,3004 E AVE RTE 49,CENTRAL SQ,NY,13036
11,Q3,04059,6659,7:00:00 AM,8:01:00 AM,F.X.CAPRARA FORD,5141 US ROUTE 11,PULASKI,NY,13142
12,Q3,00537,6605,7:00:00 AM,8:01:00 AM,FUCCILLO FORD INC,ROUTE 11,ADAMS,NY,13605
13,QA,09559,6679,7:30:00 AM,8:31:00 AM,DAVIDSON FORD,18621 US ROUTE 11,WATERTOWN,NY,13601
14,Q3,00548,6855,7:30:00 AM,8:31:00 AM,CASKINETTE'S LOFINK,36788 NYS ROUTE 26,CARTHAGE,NY,13619
15,Q3,00637,7745,9:00:00 AM,10:01:00 AM,NORTZ & VIRKLERIN,7468 SO STATE ST,LOWVILLE,NY,13367
16,QA,08676,7485,8:00:00 AM,9:01:00 AM,STEET PONTE FORD,5074 COMMERCIAL DR,YORKVILLE,NY,13495
17,QA,01095,5771,5:00:00 AM,8:01:00 AM,DONS FORD INC,5712 HORATIO ST,UTICA,NY,13502
18,Q3,07464,6602,7:00:00 AM,8:01:00 AM,COOPER FORD,3144 US HIGHWAY 20,RICHFLD SPGS,NY,13439
